user_id,offer_id,recency_days,frequency_30d,frequency_90d,monetary_90d,avg_purchase_value,category_encoded,channel_encoded,treatment,outcome_click,outcome_purchase,time_afternoon,time_evening,time_morning,time_night
17850,0,371,0,0,0.0,18.152222222222225,0,2,1,0,0,False,False,True,False
17850,2,371,0,0,0.0,18.152222222222225,0,2,0,0,0,False,True,False,False
17850,2,371,0,0,0.0,18.152222222222225,0,1,0,0,0,False,True,False,False
17850,1,371,0,0,0.0,18.152222222222225,0,1,0,0,0,False,False,False,True
13047,1,31,0,32,555.53,18.822906976744186,8,1,0,0,0,False,False,True,False
13047,2,31,0,32,555.53,18.822906976744186,8,2,1,0,0,False,False,False,True
12583,1,2,59,101,3049.17,29.479271255060727,8,1,1,0,0,True,False,False,False
12583,0,2,59,101,3049.17,29.479271255060727,8,2,1,1,1,False,False,True,False
12583,0,2,59,101,3049.17,29.479271255060727,8,1,1,1,0,False,True,False,False
12583,2,2,59,101,3049.17,29.479271255060727,8,2,1,1,0,True,False,False,False
13748,1,95,0,0,0.0,33.86607142857142,1,1,1,1,0,False,False,False,True
13748,1,95,0,0,0.0,33.86607142857142,1,1,1,1,0,True,False,False,False
13748,1,95,0,0,0.0,33.86607142857142,1,2,1,1,1,False,True,False,False
15100,0,333,0,0,0.0,292.0,7,1,1,1,0,True,False,False,False
15100,0,333,0,0,0.0,292.0,7,0,0,0,0,True,False,False,False
15100,0,333,0,0,0.0,292.0,7,2,1,1,1,False,True,False,False
15100,0,333,0,0,0.0,292.0,7,1,1,0,0,False,True,False,False
15291,1,25,16,20,1362.0299999999997,45.323300970873795,0,0,0,0,0,True,False,False,False
15291,0,25,16,20,1362.0299999999997,45.323300970873795,0,2,1,1,1,True,False,False,False
15291,2,25,16,20,1362.0299999999997,45.323300970873795,0,1,1,1,0,True,False,False,False
15291,2,25,16,20,1362.0299999999997,45.323300970873795,0,0,1,1,1,True,False,False,False
15291,2,25,16,20,1362.0299999999997,45.323300970873795,0,0,1,1,1,True,False,False,False
14688,2,7,47,83,1778.33,17.219785932721717,4,2,1,1,1,False,True,False,False
14688,1,7,47,83,1778.33,17.219785932721717,4,1,1,1,1,False,True,False,False
17809,1,15,8,26,2555.2000000000003,88.71983606557379,1,1,1,1,1,True,False,False,False
17809,0,15,8,26,2555.2000000000003,88.71983606557379,1,0,1,1,1,False,True,False,False
17809,2,15,8,26,2555.2000000000003,88.71983606557379,1,1,1,1,0,False,False,True,False
17809,2,15,8,26,2555.2000000000003,88.71983606557379,1,2,1,1,1,True,False,False,False
17809,0,15,8,26,2555.2000000000003,88.71983606557379,1,1,1,1,0,True,False,False,False
15311,0,0,275,654,14612.42,25.54346364018495,8,2,1,1,0,True,False,False,False
15311,0,0,275,654,14612.42,25.54346364018495,8,0,1,1,1,False,False,False,True
16098,2,87,0,33,783.41,29.93477611940299,8,2,1,1,0,True,False,False,False
16098,1,87,0,33,783.41,29.93477611940299,8,1,1,1,0,False,False,True,False
16098,2,87,0,33,783.41,29.93477611940299,8,1,1,1,0,True,False,False,False
16098,1,87,0,33,783.41,29.93477611940299,8,2,1,1,0,False,False,False,True
16098,2,87,0,33,783.41,29.93477611940299,8,1,1,1,0,True,False,False,False
18074,1,373,0,0,0.0,37.66153846153846,0,1,1,0,0,False,True,False,False
18074,0,373,0,0,0.0,37.66153846153846,0,0,1,0,0,False,True,False,False
18074,0,373,0,0,0.0,37.66153846153846,0,2,0,0,0,True,False,False,False
18074,2,373,0,0,0.0,37.66153846153846,0,2,1,0,0,False,True,False,False
17420,2,49,0,9,207.32,19.961000000000002,4,0,0,0,0,False,True,False,False
17420,1,49,0,9,207.32,19.961000000000002,4,2,1,1,1,True,False,False,False
17420,1,49,0,9,207.32,19.961000000000002,4,1,1,1,1,False,False,True,False
17420,0,49,0,9,207.32,19.961000000000002,4,1,1,1,0,False,True,False,False
17420,0,49,0,9,207.32,19.961000000000002,4,0,1,1,0,True,False,False,False
16029,1,38,0,103,39108.9,334.813388429752,4,1,1,1,1,False,True,False,False
16029,1,38,0,103,39108.9,334.813388429752,4,0,1,1,0,False,True,False,False
16029,2,38,0,103,39108.9,334.813388429752,4,2,1,0,0,False,False,False,True
16250,0,260,0,0,0.0,16.226666666666667,0,1,1,0,0,False,False,True,False
16250,0,260,0,0,0.0,16.226666666666667,0,0,1,1,1,False,False,True,False
16250,0,260,0,0,0.0,16.226666666666667,0,0,0,0,0,True,False,False,False
12431,1,35,0,61,2221.6400000000003,27.48919491525424,0,0,1,1,1,False,False,True,False
12431,1,35,0,61,2221.6400000000003,27.48919491525424,0,2,1,0,0,True,False,False,False
12431,1,35,0,61,2221.6400000000003,27.48919491525424,0,1,1,1,0,True,False,False,False
12431,0,35,0,61,2221.6400000000003,27.48919491525424,0,1,1,1,1,False,False,False,True
17511,2,2,198,299,31686.629999999997,94.5611422637591,1,0,1,1,0,True,False,False,False
17511,1,2,198,299,31686.629999999997,94.5611422637591,1,2,1,1,0,True,False,False,False
17511,1,2,198,299,31686.629999999997,94.5611422637591,1,2,1,1,0,True,False,False,False
13705,0,7,7,7,189.18,25.42357142857143,7,1,1,1,0,True,False,False,False
13705,0,7,7,7,189.18,25.42357142857143,7,0,1,1,0,True,False,False,False
13705,2,7,7,7,189.18,25.42357142857143,7,2,0,0,0,False,False,True,False
13747,1,373,0,0,0.0,79.6,8,1,0,0,0,True,False,False,False
13747,2,373,0,0,0.0,79.6,8,1,0,0,0,False,False,True,False
13747,0,373,0,0,0.0,79.6,8,1,1,1,0,False,False,True,False
13408,2,1,71,162,10280.36,58.82225941422595,8,1,1,0,0,False,False,True,False
13408,0,1,71,162,10280.36,58.82225941422595,8,0,1,1,1,True,False,False,False
13767,2,1,29,87,7543.990000000001,46.79445652173913,0,2,1,1,1,False,False,True,False
13767,1,1,29,87,7543.990000000001,46.79445652173913,0,0,0,0,0,True,False,False,False
17924,0,11,11,28,2460.3000000000006,95.56451612903227,8,1,1,1,0,True,False,False,False
17924,0,11,11,28,2460.3000000000006,95.56451612903227,8,2,0,0,0,False,False,False,True
17924,1,11,11,28,2460.3000000000006,95.56451612903227,8,2,0,0,0,False,False,False,True
13448,0,16,33,124,2116.11,18.150615384615385,8,0,1,1,1,False,False,False,True
13448,2,16,33,124,2116.11,18.150615384615385,8,1,1,1,1,False,True,False,False
13448,2,16,33,124,2116.11,18.150615384615385,8,0,1,1,0,False,False,True,False
13448,2,16,33,124,2116.11,18.150615384615385,8,1,0,0,0,False,False,True,False
13448,2,16,33,124,2116.11,18.150615384615385,8,2,0,0,0,True,False,False,False
15862,1,7,47,47,173.15,5.665850340136054,0,1,1,1,1,False,True,False,False
15862,1,7,47,47,173.15,5.665850340136054,0,0,1,0,0,True,False,False,False
15862,0,7,47,47,173.15,5.665850340136054,0,0,1,1,1,True,False,False,False
15513,1,32,0,108,6052.3099999999995,47.91629870129871,1,0,1,1,1,False,True,False,False
15513,0,32,0,108,6052.3099999999995,47.91629870129871,1,2,1,1,0,False,False,False,True
15513,1,32,0,108,6052.3099999999995,47.91629870129871,1,0,1,1,0,False,False,True,False
15513,0,32,0,108,6052.3099999999995,47.91629870129871,1,2,0,0,0,True,False,False,False
12791,2,373,0,0,0.0,96.30000000000001,8,2,1,0,0,False,False,True,False
12791,0,373,0,0,0.0,96.30000000000001,8,2,1,1,0,False,False,True,False
12791,0,373,0,0,0.0,96.30000000000001,8,1,1,1,0,False,True,False,False
16218,2,29,12,24,903.9200000000001,36.72238095238095,0,2,0,0,0,False,False,True,False
16218,1,29,12,24,903.9200000000001,36.72238095238095,0,1,1,0,0,False,False,True,False
14045,1,108,0,0,0.0,276.625,6,0,1,1,0,False,False,True,False
14045,2,108,0,0,0.0,276.625,6,0,1,1,1,False,False,False,True
14307,1,88,0,73,1300.7399999999998,16.642888888888887,8,2,1,1,0,True,False,False,False
14307,2,88,0,73,1300.7399999999998,16.642888888888887,8,2,1,1,0,True,False,False,False
14307,0,88,0,73,1300.7399999999998,16.642888888888887,8,2,1,1,0,False,False,False,True
14307,2,88,0,73,1300.7399999999998,16.642888888888887,8,0,0,0,0,True,False,False,False
14307,0,88,0,73,1300.7399999999998,16.642888888888887,8,1,1,1,0,True,False,False,False
17908,1,373,0,0,0.0,4.194482758620689,8,0,1,0,0,True,False,False,False
17908,0,373,0,0,0.0,4.194482758620689,8,1,0,0,0,True,False,False,False
17908,2,373,0,0,0.0,4.194482758620689,8,2,1,1,0,False,True,False,False
17908,2,373,0,0,0.0,4.194482758620689,8,1,1,1,0,False,True,False,False
17908,1,373,0,0,0.0,4.194482758620689,8,1,1,0,0,True,False,False,False
17920,0,3,313,364,1797.2799999999997,6.040373563218392,1,2,1,1,1,False,True,False,False
17920,0,3,313,364,1797.2799999999997,6.040373563218392,1,0,1,1,1,False,True,False,False
12838,0,33,0,64,292.34000000000003,5.55390243902439,1,1,0,0,0,False,True,False,False
12838,2,33,0,64,292.34000000000003,5.55390243902439,1,0,0,0,0,True,False,False,False
12838,1,33,0,64,292.34000000000003,5.55390243902439,1,0,1,1,0,False,True,False,False
12838,0,33,0,64,292.34000000000003,5.55390243902439,1,1,1,1,0,False,False,True,False
13255,0,8,7,7,173.81,30.73153846153846,2,0,0,0,0,False,True,False,False
13255,0,8,7,7,173.81,30.73153846153846,2,0,1,1,0,False,True,False,False
13255,0,8,7,7,173.81,30.73153846153846,2,1,1,1,0,False,False,True,False
13255,2,8,7,7,173.81,30.73153846153846,2,0,1,1,0,False,True,False,False
16583,2,373,0,0,0.0,16.675,2,2,1,0,0,False,True,False,False
16583,2,373,0,0,0.0,16.675,2,1,1,0,0,True,False,False,False
16583,1,373,0,0,0.0,16.675,2,2,1,0,0,False,False,True,False
16583,2,373,0,0,0.0,16.675,2,0,1,1,0,False,False,True,False
16583,1,373,0,0,0.0,16.675,2,1,1,0,0,True,False,False,False
